Regione_ID;Regione;Anno;Prezzo_mq;Superficie_mq;Affitto_mensile
1;Abruzzo;2017;6.69;199.99;1338.5
1;Abruzzo;2017;6.58;145.11;955.3
1;Abruzzo;2017;5.55;137.23;761.41
1;Abruzzo;2017;6.21;168.58;1046.64
1;Abruzzo;2017;7.09;195.38;1385.98
1;Abruzzo;2017;5.6;194.39;1089.06
1;Abruzzo;2017;6.2;120.76;748.54
1;Abruzzo;2017;6.08;59.17;360.03
1;Abruzzo;2017;4.28;70.66;302.32
1;Abruzzo;2017;5.92;69.14;409.42
1;Abruzzo;2017;5.71;185.1;1056.49
1;Abruzzo;2017;5.84;162.92;951.93
1;Abruzzo;2017;5.86;66.83;391.61
1;Abruzzo;2017;6.11;172.54;1054.42
1;Abruzzo;2017;6.24;151.88;947.38
1;Abruzzo;2017;5.74;107.86;618.89
1;Abruzzo;2017;7.03;154.57;1086.64
1;Abruzzo;2017;6.69;70.88;474.14
1;Abruzzo;2017;5.95;198.58;1181.1
1;Abruzzo;2017;6.01;123.46;742.48
1;Abruzzo;2017;6.23;165.0;1028.17
1;Abruzzo;2017;6.74;127.82;861.33
1;Abruzzo;2017;7.46;112.93;842.75
1;Abruzzo;2017;5.69;84.51;480.98
1;Abruzzo;2017;6.45;147.74;953.18
1;Abruzzo;2017;6.28;97.42;611.54
1;Abruzzo;2017;6.67;103.61;690.77
1;Abruzzo;2017;6.22;98.68;614.15
1;Abruzzo;2017;5.18;178.38;924.79
1;Abruzzo;2017;6.09;169.05;1030.37
1;Abruzzo;2017;6.14;102.32;628.4
1;Abruzzo;2017;6.98;61.98;432.55
1;Abruzzo;2017;6.92;191.42;1324.58
1;Abruzzo;2017;6.76;146.03;987.11
1;Abruzzo;2017;5.84;69.85;408.07
1;Abruzzo;2017;6.92;62.72;434.09
1;Abruzzo;2017;6.35;67.59;429.11
1;Abruzzo;2017;5.05;168.32;849.62
1;Abruzzo;2017;6.8;156.09;1060.76
1;Abruzzo;2017;7.37;150.16;1107.34
1;Abruzzo;2017;6.64;181.86;1206.99
1;Abruzzo;2017;6.32;55.36;349.92
1;Abruzzo;2017;6.0;94.29;566.18
1;Abruzzo;2017;6.25;154.4;964.25
1;Abruzzo;2017;6.21;95.59;593.92
1;Abruzzo;2017;6.35;93.38;592.88
1;Abruzzo;2017;5.68;161.58;917.65
1;Abruzzo;2017;5.82;54.07;314.6
1;Abruzzo;2017;7.15;110.29;788.14
1;Abruzzo;2017;6.42;191.07;1226.54
1;Abruzzo;2017;5.99;153.84;921.49
1;Abruzzo;2017;6.04;154.99;935.45
1;Abruzzo;2017;6.47;76.16;492.61
1;Abruzzo;2017;5.22;149.17;778.99
1;Abruzzo;2017;6.3;150.18;946.3
1;Abruzzo;2017;4.98;198.47;989.01
1;Abruzzo;2017;5.89;92.9;547.45
1;Abruzzo;2017;7.92;165.53;1311.09
1;Abruzzo;2017;6.28;73.7;462.98
1;Abruzzo;2017;6.06;150.69;912.56
1;Abruzzo;2017;6.22;59.42;369.54
1;Abruzzo;2017;5.42;154.67;839.0
1;Abruzzo;2017;7.09;99.02;701.65
1;Abruzzo;2017;5.61;69.34;389.33
1;Abruzzo;2017;7.4;192.58;1424.39
1;Abruzzo;2017;5.22;97.53;509.11
1;Abruzzo;2017;5.99;81.14;486.24
1;Abruzzo;2017;6.94;105.64;732.79
1;Abruzzo;2017;6.1;71.35;434.87
1;Abruzzo;2017;7.11;135.53;964.02
1;Abruzzo;2017;6.07;97.33;590.77
1;Abruzzo;2017;5.38;133.04;716.41
1;Abruzzo;2017;7.0;74.7;522.9
1;Abruzzo;2017;6.1;111.23;678.65
1;Abruzzo;2017;6.57;125.85;826.63
1;Abruzzo;2017;6.8;112.56;765.25
1;Abruzzo;2017;5.3;149.88;794.68
1;Abruzzo;2017;6.76;135.73;917.18
1;Abruzzo;2017;6.56;155.71;1022.21
1;Abruzzo;2017;5.91;164.21;970.27
1;Abruzzo;2017;6.18;94.93;586.45
1;Abruzzo;2017;6.33;152.72;966.66
1;Abruzzo;2017;5.99;166.9;999.88
1;Abruzzo;2017;5.98;197.07;1178.4
1;Abruzzo;2017;5.61;87.16;488.86
1;Abruzzo;2017;5.11;112.79;576.31
1;Abruzzo;2017;6.24;152.88;954.71
1;Abruzzo;2017;4.78;77.76;371.41
1;Abruzzo;2017;6.58;120.77;795.19
1;Abruzzo;2017;6.5;176.42;1146.88
1;Abruzzo;2017;6.3;119.3;751.21
1;Abruzzo;2017;6.8;85.85;583.71
1;Abruzzo;2017;6.39;81.47;520.58
1;Abruzzo;2017;7.15;50.67;362.41
1;Abruzzo;2017;6.41;120.49;772.91
