Regione_ID;Regione;Anno;Prezzo_mq;Superficie_mq;Prezzo_finale
1;Abruzzo;2017;1414.97;110.42;156245.55
1;Abruzzo;2017;1580.92;130.0;205515.33
1;Abruzzo;2017;1669.37;105.77;176568.46
1;Abruzzo;2017;1558.76;191.26;298131.65
1;Abruzzo;2017;1328.6;63.55;84437.53
1;Abruzzo;2017;1619.04;146.39;237003.71
1;Abruzzo;2017;1623.34;66.1;107305.29
1;Abruzzo;2017;1426.13;63.19;90123.62
1;Abruzzo;2017;1556.25;108.52;168881.75
1;Abruzzo;2017;1316.37;158.91;209179.94
1;Abruzzo;2017;1224.7;108.01;132284.31
1;Abruzzo;2017;1726.52;76.03;131269.34
1;Abruzzo;2017;1449.8;60.74;88054.35
1;Abruzzo;2017;1432.05;60.09;86058.48
1;Abruzzo;2017;1473.81;92.42;136210.93
1;Abruzzo;2017;1464.06;59.39;86947.57
1;Abruzzo;2017;1369.91;69.89;95737.6
1;Abruzzo;2017;1400.13;171.34;239897.94
1;Abruzzo;2017;1396.71;189.74;265006.0
1;Abruzzo;2017;1513.19;55.48;83952.35
1;Abruzzo;2017;1815.94;87.5;158901.02
1;Abruzzo;2017;1383.04;119.94;165876.18
1;Abruzzo;2017;1550.37;168.7;261553.32
1;Abruzzo;2017;1327.97;141.56;187991.06
1;Abruzzo;2017;1400.52;133.6;187107.58
1;Abruzzo;2017;1569.24;76.69;120342.15
1;Abruzzo;2017;1603.82;156.53;251041.76
1;Abruzzo;2017;1595.23;85.07;135701.9
1;Abruzzo;2017;1296.65;159.79;207189.55
1;Abruzzo;2017;1296.71;146.57;190059.58
1;Abruzzo;2017;1414.02;50.69;71680.75
1;Abruzzo;2017;1561.55;130.93;204448.19
1;Abruzzo;2017;1643.92;50.94;83748.89
1;Abruzzo;2017;1499.02;89.47;134110.27
1;Abruzzo;2017;1515.4;173.88;263493.25
1;Abruzzo;2017;1514.66;119.31;180714.72
1;Abruzzo;2017;1442.6;100.92;145584.73
1;Abruzzo;2017;1475.32;152.03;224290.68
1;Abruzzo;2017;1315.01;198.91;261572.08
1;Abruzzo;2017;1597.43;138.86;221815.87
1;Abruzzo;2017;1539.44;95.7;147325.91
1;Abruzzo;2017;1426.17;52.99;75567.87
